Artifact,Directory,Artifact type,Promotion stage,Runtime role,Owner agent,Source path,Spatial relevance,Schema required,Example required,Hook required,InfraNodus required,Last edited,Created,Purpose,RDD linkage,Validation notes,Artifact ID,Backlinks,Bottom matter status,Notion anchor,Promotion readiness,Refactor intake,Related specs,Related tests,Runtime endpoint,Source trace status,Source traces
http://README.md,root,README,Validated,Public docs,planning-agent,meta-harness-architecture-template/http://README.md,Harness-general,No,No,No,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM","Repository entrypoint describing the META-HARNESS template, directory layout, validation flow, and Vectorworks-to-iTwin alignment.",Explains how RDD inputs become living-document artifacts and implementation outputs.,"Must link to manifest conventions, schemas, diagrams, tool registry, capability harvest, and runtime memory docs.",,,,,,No,,,,,
http://vectorworks-itwin-spatial-pipeline.md,rdd,RDD,Research,Source spec,sources-agent,meta-harness-architecture-template/rdd/http://vectorworks-itwin-spatial-pipeline.md,RDD input,Yes,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM",Example RDD describing the Vectorworks-to-iTwin spatial pipeline and its living-document requirements.,Root RDD input for spatial data workflow example.,"Must link to research note, mapping spec, agent contract, validation record, and evaluation pipeline.",,,,,,No,,,,,
agent-role-contract.schema.json,schemas,Schema,Validated,Validation surface,sources-agent,meta-harness-architecture-template/schemas/agent-role-contract.schema.json,Harness-general,Yes,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM","JSON schema for META-HARNESS agent role contracts including role purpose, inputs, outputs, permissions, tools, skills, hooks, escalation, and handoff.",Maps agent work responsibilities to RDD-derived implementation and validation outputs.,"Must validate tool_refs, skill_refs, hook_refs, and one-lane ownership without scope overlap.",,,,,,No,,,,,
living-document-manifest.schema.json,schemas,Schema,Validated,Validation surface,sources-agent,meta-harness-architecture-template/schemas/living-document-manifest.schema.json,Core spatial pipeline,Yes,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM",JSON schema governing YAML front matter and bottom matter for living documents.,Defines how RDD lineage is embedded into every living document.,"Requires artifact identity, provenance, RDD linkage, promotion state, validation gates, dependencies, and spatial metadata.",,,,,,No,,,,,
tool-definition.schema.json,schemas,Schema,Validated,Capability substrate,capability-harvest-agent,meta-harness-architecture-template/schemas/tool-definition.schema.json,Harness-general,Yes,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM","Schema for executable or callable tools, including purpose, inputs, outputs, docstrings, comments, side effects, hooks, and validation responsibilities.",Allows acquired tool libraries to become governed project capabilities.,Every tool manifest must validate against this schema before promotion.,,,,,,No,,,,,
artifact-promotion-state-machine.mmd,diagrams,Diagram,Validated,Source spec,golden-path-agent,meta-harness-architecture-template/diagrams/artifact-promotion-state-machine.mmd,Harness-general,No,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM","Mermaid state machine for artifact lifecycle: Draft → Research → Validated → Canonical with review, regression, rollback, and supersession paths.",Shows how RDD artifacts move toward canonical implementation authority.,Promotion states must match manifest schema and registry status options.,,,,,,No,,,,,
rdd-to-implementation-evaluation-pipeline.mmd,diagrams,Diagram,Validated,Source spec,golden-path-agent,meta-harness-architecture-template/diagrams/rdd-to-implementation-evaluation-pipeline.mmd,Core spatial pipeline,No,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM","Formal evaluation pipeline diagram mapping RDD inputs through research, specs, agents, validation, and canonical implementation outputs.",Primary visual model for RDD-to-implementation flow.,"Must map each phase to at least one artifact type, validation gate, and output path.",,,,,,No,,,,,
spatial-mapping-agent.contract.json,examples,Agent contract,Validated,Capability substrate,capability-harvest-agent,meta-harness-architecture-template/examples/agents/spatial-mapping-agent.contract.json,Core spatial pipeline,Yes,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM",Example agent contract for a spatial mapping agent responsible for Vectorworks-to-iTwin artifact translation and validation handoff.,Agent lane that executes mapping tasks derived from the spatial RDD.,"Must validate against agent-role-contract.schema.json and include tool_refs, skill_refs, and hook_refs.",,,,,,No,,,,,
http://vectorworks-itwin-mapping-validation.md,examples,Validation record,Validated,Validation surface,evaluation-agent,meta-harness-architecture-template/examples/validations/http://vectorworks-itwin-mapping-validation.md,Validation/evaluation,Yes,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM",Example validation record proving a Vectorworks-to-iTwin mapping spec meets declared acceptance criteria.,Evaluation evidence for the spatial mapping pipeline.,"Must cite RDD input, mapping spec, agent output, and pass/fail evidence.",,,,,,No,,,,,
http://vectorworks-itwin-mapping.md,examples,Spec,Research,Source spec,sources-agent,meta-harness-architecture-template/examples/specs/http://vectorworks-itwin-mapping.md,Mapping spec,Yes,Yes,Yes,Yes,"May 16, 2026 2:52 AM","May 16, 2026 2:52 AM",Example living spec for mapping Vectorworks spatial data into iTwin-compatible implementation outputs.,Implements requirements from http://vectorworks-itwin-spatial-pipeline.md.,Must satisfy living-document manifest schema and link to validation record.,,,,,,No,,,,,
