Artifact,Artifact ID,Artifact type,Backlinks,Bottom matter status,Created,Directory,Example required,Hook required,InfraNodus required,Last edited,Notion anchor,Owner agent,Promotion readiness,Promotion stage,Purpose,RDD linkage,Refactor intake,Related specs,Related tests,Runtime endpoint,Runtime role,Schema required,Source path,Source trace status,Source traces,Spatial relevance,Validation notes
artifact-promotion-state-machine.mmd,,Diagram,,,"May 16, 2026 2:52 AM",diagrams,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,golden-path-agent,,Validated,"Mermaid state machine for artifact lifecycle: Draft → Research → Validated → Canonical with review, regression, rollback, and supersession paths.",Shows how RDD artifacts move toward canonical implementation authority.,No,,,,Source spec,No,meta-harness-architecture-template/diagrams/artifact-promotion-state-machine.mmd,,,Harness-general,Promotion states must match manifest schema and registry status options.
http://README.md,,README,,,"May 16, 2026 2:52 AM",root,No,No,Yes,"May 16, 2026 2:52 AM",,planning-agent,,Validated,"Repository entrypoint describing the META-HARNESS template, directory layout, validation flow, and Vectorworks-to-iTwin alignment.",Explains how RDD inputs become living-document artifacts and implementation outputs.,No,,,,Public docs,No,meta-harness-architecture-template/http://README.md,,,Harness-general,"Must link to manifest conventions, schemas, diagrams, tool registry, capability harvest, and runtime memory docs."
rdd-to-implementation-evaluation-pipeline.mmd,,Diagram,,,"May 16, 2026 2:52 AM",diagrams,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,golden-path-agent,,Validated,"Formal evaluation pipeline diagram mapping RDD inputs through research, specs, agents, validation, and canonical implementation outputs.",Primary visual model for RDD-to-implementation flow.,No,,,,Source spec,No,meta-harness-architecture-template/diagrams/rdd-to-implementation-evaluation-pipeline.mmd,,,Core spatial pipeline,"Must map each phase to at least one artifact type, validation gate, and output path."
agent-role-contract.schema.json,,Schema,,,"May 16, 2026 2:52 AM",schemas,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,sources-agent,,Validated,"JSON schema for META-HARNESS agent role contracts including role purpose, inputs, outputs, permissions, tools, skills, hooks, escalation, and handoff.",Maps agent work responsibilities to RDD-derived implementation and validation outputs.,No,,,,Validation surface,Yes,meta-harness-architecture-template/schemas/agent-role-contract.schema.json,,,Harness-general,"Must validate tool_refs, skill_refs, hook_refs, and one-lane ownership without scope overlap."
living-document-manifest.schema.json,,Schema,,,"May 16, 2026 2:52 AM",schemas,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,sources-agent,,Validated,JSON schema governing YAML front matter and bottom matter for living documents.,Defines how RDD lineage is embedded into every living document.,No,,,,Validation surface,Yes,meta-harness-architecture-template/schemas/living-document-manifest.schema.json,,,Core spatial pipeline,"Requires artifact identity, provenance, RDD linkage, promotion state, validation gates, dependencies, and spatial metadata."
http://vectorworks-itwin-spatial-pipeline.md,,RDD,,,"May 16, 2026 2:52 AM",rdd,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,sources-agent,,Research,Example RDD describing the Vectorworks-to-iTwin spatial pipeline and its living-document requirements.,Root RDD input for spatial data workflow example.,No,,,,Source spec,Yes,meta-harness-architecture-template/rdd/http://vectorworks-itwin-spatial-pipeline.md,,,RDD input,"Must link to research note, mapping spec, agent contract, validation record, and evaluation pipeline."
http://vectorworks-itwin-mapping.md,,Spec,,,"May 16, 2026 2:52 AM",examples,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,sources-agent,,Research,Example living spec for mapping Vectorworks spatial data into iTwin-compatible implementation outputs.,Implements requirements from http://vectorworks-itwin-spatial-pipeline.md.,No,,,,Source spec,Yes,meta-harness-architecture-template/examples/specs/http://vectorworks-itwin-mapping.md,,,Mapping spec,Must satisfy living-document manifest schema and link to validation record.
spatial-mapping-agent.contract.json,,Agent contract,,,"May 16, 2026 2:52 AM",examples,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,capability-harvest-agent,,Validated,Example agent contract for a spatial mapping agent responsible for Vectorworks-to-iTwin artifact translation and validation handoff.,Agent lane that executes mapping tasks derived from the spatial RDD.,No,,,,Capability substrate,Yes,meta-harness-architecture-template/examples/agents/spatial-mapping-agent.contract.json,,,Core spatial pipeline,"Must validate against agent-role-contract.schema.json and include tool_refs, skill_refs, and hook_refs."
http://vectorworks-itwin-mapping-validation.md,,Validation record,,,"May 16, 2026 2:52 AM",examples,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,evaluation-agent,,Validated,Example validation record proving a Vectorworks-to-iTwin mapping spec meets declared acceptance criteria.,Evaluation evidence for the spatial mapping pipeline.,No,,,,Validation surface,Yes,meta-harness-architecture-template/examples/validations/http://vectorworks-itwin-mapping-validation.md,,,Validation/evaluation,"Must cite RDD input, mapping spec, agent output, and pass/fail evidence."
tool-definition.schema.json,,Schema,,,"May 16, 2026 2:52 AM",schemas,Yes,Yes,Yes,"May 16, 2026 2:52 AM",,capability-harvest-agent,,Validated,"Schema for executable or callable tools, including purpose, inputs, outputs, docstrings, comments, side effects, hooks, and validation responsibilities.",Allows acquired tool libraries to become governed project capabilities.,No,,,,Capability substrate,Yes,meta-harness-architecture-template/schemas/tool-definition.schema.json,,,Harness-general,Every tool manifest must validate against this schema before promotion.
