Name,Blocked by,Evidence path,Expected failure class,Expected field,ID,LATTICE equivalent,Last updated,Owner,Path,Phase,Priority,Promotion impact,Record type,Related example,Related schema,Related test,Repair action,Required for exit check,Run ID,Status,Transfer status
http://source-normalization.md,,,,,ART-P0-NORMALIZATION,,"May 16, 2026 6:09 AM",sources-agent,meta/harness/fre/docs/http://source-normalization.md,Phase 0,P0,Blocks promotion,Artifact,,,,Normalize Notion export and markdown copy-paste corruption before executable files are created.,Yes,,Pending,
http://sources.md,,,,,ART-P0-SOURCES,,"May 16, 2026 6:09 AM",sources-agent,meta/harness/fre/docs/http://sources.md,Phase 0,P0,Blocks promotion,Artifact,,,,,Yes,,Pending,
http://CLAUDE.md,,,,,ART-P0-CLAUDE,,"May 16, 2026 6:09 AM",planning-agent,meta/harness/fre/http://CLAUDE.md,Phase 0,P0,Blocks promotion,Artifact,,,,,Yes,,Pending,
http://goal.md,,,,,ART-P0-GOAL,,"May 16, 2026 6:09 AM",planning-agent,meta/harness/fre/docs/http://goal.md,Phase 0,P0,Blocks promotion,Artifact,,,,,Yes,,Pending,
http://README.md,,,,,ART-P0-README,,"May 16, 2026 6:09 AM",planning-agent,meta/harness/fre/http://README.md,Phase 0,P0,Blocks promotion,Artifact,,,,,Yes,,Pending,
http://fre-to-lattice-map.md,,,,,ART-P0-MAPPING-DOC,,"May 16, 2026 6:09 AM",evaluation-agent,meta/harness/fre/docs/http://fre-to-lattice-map.md,Phase 0,P0,Blocks promotion,Artifact,,,,,Yes,,Pending,
expected-failures.yaml,,,,,ART-P0-EXPECTED-FAILURES,,"May 16, 2026 6:09 AM",evaluation-agent,meta/harness/fre/examples/expected-failures.yaml,Phase 0,P0,Blocks promotion,Artifact,,,,,Yes,,Pending,
http://adoption-rubric.md,,,,,ART-P0-RUBRIC,,"May 16, 2026 6:09 AM",promotion-controller,meta/harness/fre/docs/http://adoption-rubric.md,Phase 0,P1,Needs evidence,Artifact,,,,,Yes,,Pending,
fre-loop.valid.json,,,,,EXAMPLE-FRE-LOOP-VALID,,"May 16, 2026 6:09 AM",evaluation-agent,meta/harness/fre/examples/fre-loop.valid.json,Phase 1,P0,Blocks promotion,Example,,schemas/fre-loop.schema.json,tests/test_examples_http://validate.py,,Yes,,Pending,
fre-loop.schema.json,,,,,SCHEMA-FRE-LOOP,,"May 16, 2026 6:09 AM",evaluation-agent,meta/harness/fre/schemas/fre-loop.schema.json,Phase 1,P0,Blocks promotion,Schema,examples/fre-loop.valid.json,,tests/test_schema_http://validity.py,,Yes,,Pending,
promotion-decision.schema.json,,,,,SCHEMA-PROMOTION-DECISION,,"May 16, 2026 6:09 AM",promotion-controller,meta/harness/fre/schemas/promotion-decision.schema.json,Phase 1,P0,Blocks promotion,Schema,examples/promotion-decision.valid.json,,tests/test_examples_http://validate.py,,Yes,,Pending,
repair-task.schema.json,,,,,SCHEMA-REPAIR-TASK,,"May 16, 2026 6:09 AM",evaluation-agent,meta/harness/fre/schemas/repair-task.schema.json,Phase 1,P0,Blocks promotion,Schema,examples/repair-task.valid.json,,tests/test_repair_http://tasks.py,,Yes,,Pending,
gate-result.schema.json,,,,,SCHEMA-GATE-RESULT,,"May 16, 2026 6:09 AM",evaluation-agent,meta/harness/fre/schemas/gate-result.schema.json,Phase 1,P0,Blocks promotion,Schema,examples/gate-result.valid.json,,tests/test_examples_http://validate.py,,Yes,,Pending,
http://fre-loop.invalid.green-terminology.json,,,REQUIRED_FIELD_MISSING; ADDITIONAL_PROPERTY_NOT_ALLOWED,validation_pass_criteria; definition_of_green,EXAMPLE-FRE-INVALID-GREEN-TERMINOLOGY,,"May 16, 2026 6:09 AM",evaluation-agent,meta/harness/fre/examples/http://fre-loop.invalid.green-terminology.json,Phase 1,P0,Blocks promotion,Example,,schemas/fre-loop.schema.json,tests/test_failure_examples_http://fail.py,,Yes,,Pending,
fre-loop.invalid.missing-promotion.json,,,AUTHORITY_CHAIN_MISSING_REQUIRED_VALUE,authority_chain; promotion_decision,EXAMPLE-FRE-INVALID-MISSING-PROMOTION,,"May 16, 2026 6:09 AM",evaluation-agent,meta/harness/fre/examples/fre-loop.invalid.missing-promotion.json,Phase 1,P0,Blocks promotion,Example,,schemas/fre-loop.schema.json,tests/test_failure_examples_http://fail.py,,Yes,,Pending,
