Name,ID,Record type,Path,Phase,Status,Owner,Priority,Required for exit check,Related schema,Related example,Related test,Expected failure class,Expected field,LATTICE equivalent,Transfer status,Run ID,Evidence path,Blocked by,Repair action,Promotion impact,Last updated
expected-failures.yaml,ART-P0-EXPECTED-FAILURES,Artifact,meta/harness/fre/examples/expected-failures.yaml,Phase 0,Pending,evaluation-agent,P0,Yes,,,,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
http://fre-to-lattice-map.md,ART-P0-MAPPING-DOC,Artifact,meta/harness/fre/docs/http://fre-to-lattice-map.md,Phase 0,Pending,evaluation-agent,P0,Yes,,,,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
http://README.md,ART-P0-README,Artifact,meta/harness/fre/http://README.md,Phase 0,Pending,planning-agent,P0,Yes,,,,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
http://goal.md,ART-P0-GOAL,Artifact,meta/harness/fre/docs/http://goal.md,Phase 0,Pending,planning-agent,P0,Yes,,,,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
http://CLAUDE.md,ART-P0-CLAUDE,Artifact,meta/harness/fre/http://CLAUDE.md,Phase 0,Pending,planning-agent,P0,Yes,,,,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
http://sources.md,ART-P0-SOURCES,Artifact,meta/harness/fre/docs/http://sources.md,Phase 0,Pending,sources-agent,P0,Yes,,,,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
http://source-normalization.md,ART-P0-NORMALIZATION,Artifact,meta/harness/fre/docs/http://source-normalization.md,Phase 0,Pending,sources-agent,P0,Yes,,,,,,,,,,,Normalize Notion export and markdown copy-paste corruption before executable files are created.,Blocks promotion,"May 16, 2026 6:09 AM"
fre-loop.invalid.missing-promotion.json,EXAMPLE-FRE-INVALID-MISSING-PROMOTION,Example,meta/harness/fre/examples/fre-loop.invalid.missing-promotion.json,Phase 1,Pending,evaluation-agent,P0,Yes,schemas/fre-loop.schema.json,,tests/test_failure_examples_http://fail.py,AUTHORITY_CHAIN_MISSING_REQUIRED_VALUE,authority_chain; promotion_decision,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
http://fre-loop.invalid.green-terminology.json,EXAMPLE-FRE-INVALID-GREEN-TERMINOLOGY,Example,meta/harness/fre/examples/http://fre-loop.invalid.green-terminology.json,Phase 1,Pending,evaluation-agent,P0,Yes,schemas/fre-loop.schema.json,,tests/test_failure_examples_http://fail.py,REQUIRED_FIELD_MISSING; ADDITIONAL_PROPERTY_NOT_ALLOWED,validation_pass_criteria; definition_of_green,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
gate-result.schema.json,SCHEMA-GATE-RESULT,Schema,meta/harness/fre/schemas/gate-result.schema.json,Phase 1,Pending,evaluation-agent,P0,Yes,,examples/gate-result.valid.json,tests/test_examples_http://validate.py,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
repair-task.schema.json,SCHEMA-REPAIR-TASK,Schema,meta/harness/fre/schemas/repair-task.schema.json,Phase 1,Pending,evaluation-agent,P0,Yes,,examples/repair-task.valid.json,tests/test_repair_http://tasks.py,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
promotion-decision.schema.json,SCHEMA-PROMOTION-DECISION,Schema,meta/harness/fre/schemas/promotion-decision.schema.json,Phase 1,Pending,promotion-controller,P0,Yes,,examples/promotion-decision.valid.json,tests/test_examples_http://validate.py,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
fre-loop.schema.json,SCHEMA-FRE-LOOP,Schema,meta/harness/fre/schemas/fre-loop.schema.json,Phase 1,Pending,evaluation-agent,P0,Yes,,examples/fre-loop.valid.json,tests/test_schema_http://validity.py,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
fre-loop.valid.json,EXAMPLE-FRE-LOOP-VALID,Example,meta/harness/fre/examples/fre-loop.valid.json,Phase 1,Pending,evaluation-agent,P0,Yes,schemas/fre-loop.schema.json,,tests/test_examples_http://validate.py,,,,,,,,,Blocks promotion,"May 16, 2026 6:09 AM"
http://adoption-rubric.md,ART-P0-RUBRIC,Artifact,meta/harness/fre/docs/http://adoption-rubric.md,Phase 0,Pending,promotion-controller,P1,Yes,,,,,,,,,,,,Needs evidence,"May 16, 2026 6:09 AM"
